,Customer ID,Customer Name,Segment
223,DK-13375,Dennis Kane,Consumer
224,DP-13390,Dennis Pardue,Home Office
225,DB-13405,Denny Blanton,Consumer
226,DJ-13420,Denny Joy,Corporate
227,DO-13435,Denny Ordway,Consumer
228,DA-13450,Dianna Arnett,Home Office
229,DV-13465,Dianna Vittorini,Consumer
230,DW-13480,Dianna Wilson,Home Office
231,DL-13495,Dionis Lloyd,Corporate
232,DJ-13510,Don Jones,Corporate
233,DM-13525,Don Miller,Corporate
234,DW-13540,Don Weiss,Consumer
235,DB-13555,Dorothy Badders,Corporate
236,DD-13570,Dorothy Dickinson,Consumer
237,DW-13585,Dorothy Wardle,Corporate
238,Dl-13600,Dorris liebe,Corporate
239,DB-13615,Doug Bickford,Consumer
240,DJ-13630,Doug Jacobs,Consumer
241,DO-13645,Doug O'Connell,Consumer
242,DB-13660,Duane Benoit,Consumer
243,DH-13675,Duane Huffman,Home Office
244,DN-13690,Duane Noonan,Consumer
245,EB-13705,Ed Braxton,Corporate
246,EJ-13720,Ed Jacobs,Consumer
247,EL-13735,Ed Ludwig,Home Office
248,EB-13750,Edward Becker,Corporate
249,EH-13765,Edward Hooks,Corporate
250,EN-13780,Edward Nazzal,Consumer
251,EK-13795,Eileen Kiefer,Home Office
252,EM-13810,Eleni McCrary,Corporate
253,EM-13825,Elizabeth Moffitt,Corporate
254,EB-13840,Ellis Ballard,Corporate
255,ER-13855,Elpida Rittenbach,Corporate
256,EB-13870,Emily Burns,Consumer
257,ED-13885,Emily Ducich,Home Office
258,EG-13900,Emily Grady,Consumer
259,EP-13915,Emily Phan,Consumer
260,EB-13930,Eric Barreto,Consumer
261,EH-13945,Eric Hoffmann,Consumer
262,EM-13960,Eric Murdock,Consumer
263,EB-13975,Erica Bern,Corporate
264,EH-13990,Erica Hackney,Consumer
265,EH-14005,Erica Hernandez,Home Office
266,ES-14020,Erica Smith,Consumer
267,EA-14035,Erin Ashbrook,Corporate
268,EC-14050,Erin Creighton,Consumer
269,EM-14065,Erin Mull,Consumer
270,ES-14080,Erin Smith,Corporate
271,EM-14095,Eudokia Martin,Corporate
272,EB-14110,Eugene Barchas,Consumer
273,EH-14125,Eugene Hildebrand,Home Office
274,EM-14140,Eugene Moren,Home Office
275,EJ-14155,Eva Jacobs,Consumer
276,EB-14170,Evan Bailliet,Consumer
277,EH-14185,Evan Henry,Consumer
278,EM-14200,Evan Minnotte,Home Office
279,FM-14215,Filia McAdams,Corporate
280,FA-14230,Frank Atkinson,Corporate
281,FC-14245,Frank Carlisle,Home Office
282,FG-14260,Frank Gastineau,Home Office
283,FH-14275,Frank Hawley,Corporate
284,FM-14290,Frank Merwin,Home Office
285,FO-14305,Frank Olsen,Consumer
286,FP-14320,Frank Preis,Consumer
287,FC-14335,Fred Chung,Corporate
288,FH-14350,Fred Harton,Consumer
289,FH-14365,Fred Hopkins,Corporate
290,FM-14380,Fred McMath,Consumer
291,FW-14395,Fred Wasserman,Corporate
292,GH-14410,Gary Hansen,Home Office
293,GH-14425,Gary Hwang,Consumer
294,GM-14440,Gary McGarr,Consumer
295,GM-14455,Gary Mitchum,Home Office
296,GZ-14470,Gary Zandusky,Consumer
297,GH-14485,Gene Hale,Corporate
298,GM-14500,Gene McClure,Consumer
299,GA-14515,George Ashbrook,Consumer
300,GB-14530,George Bell,Corporate
301,GZ-14545,George Zrebassa,Corporate
302,GR-14560,Georgia Rosenberg,Corporate
303,GB-14575,Giulietta Baptist,Consumer
304,GD-14590,Giulietta Dortch,Corporate
305,GW-14605,Giulietta Weimer,Consumer
306,GK-14620,Grace Kelly,Corporate
307,GT-14635,Grant Thornton,Corporate
308,GG-14650,Greg Guthrie,Corporate
309,GH-14665,Greg Hansen,Consumer
310,GM-14680,Greg Matthias,Consumer
311,GM-14695,Greg Maxwell,Corporate
312,GT-14710,Greg Tran,Consumer
313,GA-14725,Guy Armstrong,Consumer
314,GP-14740,Guy Phonely,Corporate
315,GT-14755,Guy Thornton,Consumer
316,HR-14770,Hallie Redmond,Home Office
317,HD-14785,Harold Dahlen,Home Office
318,HE-14800,Harold Engle,Corporate
319,HP-14815,Harold Pawlan,Home Office
320,HR-14830,Harold Ryan,Corporate
321,HG-14845,Harry Greene,Consumer
322,HM-14860,Harry Marie,Corporate
323,HJ-14875,Heather Jas,Home Office
324,HK-14890,Heather Kirkland,Corporate
325,HA-14905,Helen Abelman,Consumer
326,HA-14920,Helen Andreada,Consumer
327,HW-14935,Helen Wasserman,Corporate
328,HZ-14950,Henia Zydlo,Consumer
329,HG-14965,Henry Goldwyn,Corporate
330,HM-14980,Henry MacAllister,Consumer
331,HF-14995,Herbert Flentye,Consumer
332,HH-15010,Hilary Holden,Corporate
333,HG-15025,Hunter Glantz,Consumer
334,HL-15040,Hunter Lopez,Consumer
335,IM-15055,Ionia McGrath,Consumer
336,IM-15070,Irene Maddox,Consumer
337,IG-15085,Ivan Gibson,Consumer
338,IL-15100,Ivan Liston,Consumer
339,JG-15115,Jack Garza,Consumer
340,JL-15130,Jack Lebron,Consumer
341,JO-15145,Jack O'Briant,Corporate
342,JG-15160,James Galang,Consumer
343,JL-15175,James Lanier,Home Office
344,JF-15190,Jamie Frazer,Consumer
345,JK-15205,Jamie Kunitz,Consumer
346,JW-15220,Jane Waco,Corporate
347,JL-15235,Janet Lee,Consumer
348,JM-15250,Janet Martin,Consumer
349,JM-15265,Janet Molinari,Corporate
350,JO-15280,Jas O'Carroll,Consumer
351,JF-15295,Jason Fortune-,Consumer
352,JG-15310,Jason Gross,Corporate
353,JK-15325,Jason Klamczynski,Corporate
354,JC-15340,Jasper Cacioppo,Consumer
355,JF-15355,Jay Fein,Consumer
356,JK-15370,Jay Kimmel,Consumer
357,JC-15385,Jenna Caffey,Consumer
358,JB-15400,Jennifer Braxton,Corporate
359,JF-15415,Jennifer Ferguson,Consumer
360,JH-15430,Jennifer Halladay,Consumer
361,JJ-15445,Jennifer Jackson,Consumer
362,JP-15460,Jennifer Patt,Corporate
363,JE-15475,Jeremy Ellison,Consumer
364,JF-15490,Jeremy Farry,Consumer
365,JL-15505,Jeremy Lonsdale,Consumer
366,JP-15520,Jeremy Pistek,Consumer
367,JM-15535,Jessica Myrick,Consumer
368,JO-15550,Jesus Ocampo,Home Office
369,JF-15565,Jill Fjeld,Consumer
370,JM-15580,Jill Matthias,Consumer
371,JS-15595,Jill Stevenson,Corporate
372,JE-15610,Jim Epp,Corporate
373,JK-15625,Jim Karlsson,Consumer
374,JK-15640,Jim Kriz,Home Office
375,JM-15655,Jim Mitchum,Corporate
376,JR-15670,Jim Radford,Consumer
377,JS-15685,Jim Sink,Corporate
378,JR-15700,Jocasta Rupert,Consumer
379,JE-15715,Joe Elijah,Consumer
380,JK-15730,Joe Kamberova,Consumer
381,JE-15745,Joel Eaton,Consumer
382,JJ-15760,Joel Jenkins,Home Office
383,JC-15775,John Castell,Consumer
384,JD-15790,John Dryer,Consumer
385,JG-15805,John Grady,Corporate
386,JH-15820,John Huston,Consumer
387,JL-15835,John Lee,Consumer
388,JL-15850,John Lucas,Consumer
389,JM-15865,John Murray,Consumer
390,JS-15880,John Stevenson,Consumer
391,JD-15895,Jonathan Doherty,Corporate
392,JH-15910,Jonathan Howell,Consumer
393,JB-15925,Joni Blumstein,Consumer
394,JS-15940,Joni Sundaresam,Home Office
395,JW-15955,Joni Wasserman,Consumer
396,JA-15970,Joseph Airdo,Consumer
397,JH-15985,Joseph Holt,Consumer
398,JB-16000,Joy Bell-,Consumer
399,JD-16015,Joy Daniels,Consumer
400,JS-16030,Joy Smith,Consumer
401,JB-16045,Julia Barnett,Home Office
402,JD-16060,Julia Dunbar,Consumer
403,JW-16075,Julia West,Consumer
404,JK-16090,Juliana Krohn,Consumer
405,JC-16105,Julie Creighton,Corporate
406,JK-16120,Julie Kriz,Home Office
407,JP-16135,Julie Prescott,Home Office
408,JD-16150,Justin Deggeller,Corporate
409,JE-16165,Justin Ellison,Corporate
410,JH-16180,Justin Hirsh,Consumer
411,JM-16195,Justin MacKendrick,Consumer
412,JR-16210,Justin Ritter,Corporate
413,KM-16225,Kalyca Meade,Corporate
414,KB-16240,Karen Bern,Corporate
415,KC-16255,Karen Carlisle,Corporate
416,KD-16270,Karen Daniels,Consumer
417,KF-16285,Karen Ferguson,Home Office
418,KS-16300,Karen Seio,Corporate
419,KB-16315,Karl Braun,Consumer
420,KH-16330,Katharine Harms,Corporate
421,KD-16345,Katherine Ducich,Consumer
422,KH-16360,Katherine Hughes,Consumer
423,KM-16375,Katherine Murray,Home Office
424,KN-16390,Katherine Nockton,Corporate
425,KB-16405,Katrina Bavinger,Home Office
426,KE-16420,Katrina Edelman,Corporate
427,KW-16435,Katrina Willman,Consumer
428,KN-16450,Kean Nguyen,Corporate
429,KT-16465,Kean Takahito,Consumer
430,KT-16480,Kean Thornton,Consumer
431,KD-16495,Keith Dawkins,Corporate
432,KH-16510,Keith Herrera,Consumer
433,KA-16525,Kelly Andreada,Consumer
434,KC-16540,Kelly Collister,Consumer
435,KL-16555,Kelly Lampkin,Corporate
436,KW-16570,Kelly Williams,Consumer
437,KB-16585,Ken Black,Corporate
438,KB-16600,Ken Brennan,Corporate
439,KD-16615,Ken Dana,Corporate
440,KH-16630,Ken Heidel,Corporate
441,KL-16645,Ken Lonsdale,Consumer
442,KM-16660,Khloe Miller,Consumer
443,KC-16675,Kimberly Carter,Corporate
444,KH-16690,Kristen Hastings,Corporate
445,KN-16705,Kristina Nunn,Home Office
446,KM-16720,Kunst Miller,Consumer
447,LB-16735,Larry Blacks,Consumer
448,LH-16750,Larry Hughes,Consumer
449,LT-16765,Larry Tron,Consumer
450,LA-16780,Laura Armstrong,Corporate
451,LB-16795,Laurel Beltran,Home Office
452,LE-16810,Laurel Elliston,Consumer
453,LW-16825,Laurel Workman,Corporate
454,LL-16840,Lauren Leatherbury,Consumer
455,LD-16855,Lela Donovan,Corporate
456,LC-16870,Lena Cacioppo,Consumer
457,LC-16885,Lena Creighton,Consumer
458,LH-16900,Lena Hernandez,Consumer
459,LR-16915,Lena Radford,Consumer
460,LC-16930,Linda Cazamias,Corporate
461,LS-16945,Linda Southworth,Corporate
462,LC-16960,Lindsay Castell,Home Office
463,LS-16975,Lindsay Shagiari,Home Office
464,LW-16990,Lindsay Williams,Corporate
465,LD-17005,Lisa DeCherney,Consumer
466,LH-17020,Lisa Hazard,Consumer
467,LR-17035,Lisa Ryan,Corporate
468,LC-17050,Liz Carlisle,Consumer
469,LM-17065,Liz MacKendrick,Consumer
470,LP-17080,Liz Pelletier,Consumer
471,LP-17095,Liz Preis,Consumer
472,LT-17110,Liz Thompson,Consumer
473,LW-17125,Liz Willingham,Consumer
474,LC-17140,Logan Currie,Consumer
475,LH-17155,Logan Haushalter,Consumer
476,LO-17170,Lori Olson,Corporate
477,LF-17185,Luke Foster,Consumer
478,LS-17200,Luke Schmidt,Corporate
479,LW-17215,Luke Weiss,Consumer
480,LS-17230,Lycoris Saunders,Consumer
481,LS-17245,Lynn Smith,Consumer
482,MM-17260,Magdelene Morse,Consumer
483,MC-17275,Marc Crier,Consumer
484,MH-17290,Marc Harrigan,Home Office
485,MB-17305,Maria Bertelson,Consumer
486,ME-17320,Maria Etezadi,Home Office
487,MZ-17335,Maria Zettner,Home Office
488,MD-17350,Maribeth Dona,Consumer
489,MS-17365,Maribeth Schnelling,Consumer
490,MY-17380,Maribeth Yedwab,Corporate
491,ML-17395,Marina Lichtenstein,Corporate
492,ML-17410,Maris LaWare,Consumer
493,MC-17425,Mark Cousins,Corporate
494,MH-17440,Mark Haberlin,Corporate
495,MH-17455,Mark Hamilton,Consumer
496,MP-17470,Mark Packer,Home Office
497,MV-17485,Mark Van Huff,Consumer
498,MO-17500,Mary O'Rourke,Consumer
499,MZ-17515,Mary Zewe,Corporate
500,MS-17530,MaryBeth Skach,Consumer
501,MR-17545,Mathew Reese,Home Office
502,MA-17560,Matt Abelman,Home Office
503,MC-17575,Matt Collins,Consumer
504,MC-17590,Matt Collister,Corporate
505,MC-17605,Matt Connell,Corporate
506,MH-17620,Matt Hagelstein,Corporate
507,MC-17635,Matthew Clasen,Corporate
508,MG-17650,Matthew Grinstein,Home Office
509,MF-17665,Maureen Fritzler,Corporate
510,MG-17680,Maureen Gastineau,Home Office
511,MG-17695,Maureen Gnade,Consumer
512,MS-17710,Maurice Satty,Consumer
513,ME-17725,Max Engle,Consumer
514,MJ-17740,Max Jones,Consumer
515,ML-17755,Max Ludwig,Home Office
516,MS-17770,Maxwell Schwartz,Consumer
517,MH-17785,Maya Herman,Corporate
518,MO-17800,Meg O'Connel,Home Office
519,MT-17815,Meg Tillman,Consumer
520,MS-17830,Melanie Seite,Consumer
521,MC-17845,Michael Chen,Consumer
522,MD-17860,Michael Dominguez,Corporate
523,MG-17875,Michael Grace,Home Office
524,MG-17890,Michael Granlund,Home Office
525,MK-17905,Michael Kennedy,Corporate
526,MM-17920,Michael Moore,Consumer
527,MN-17935,Michael Nguyen,Consumer
528,MO-17950,Michael Oakman,Consumer
529,MP-17965,Michael Paige,Corporate
530,MS-17980,Michael Stewart,Corporate
531,MA-17995,Michelle Arnett,Home Office
532,ME-18010,Michelle Ellison,Corporate
533,MH-18025,Michelle Huthwaite,Consumer
534,ML-18040,Michelle Lonsdale,Corporate
535,MM-18055,Michelle Moray,Consumer
536,MT-18070,Michelle Tran,Home Office
537,MB-18085,Mick Brown,Consumer
538,MC-18100,Mick Crebagga,Consumer
539,MH-18115,Mick Hernandez,Home Office
540,MC-18130,Mike Caudle,Corporate
541,MG-18145,Mike Gockenbach,Consumer
542,MK-18160,Mike Kennedy,Consumer
543,MP-18175,Mike Pelletier,Home Office
544,MV-18190,Mike Vittorini,Consumer
545,MG-18205,Mitch Gastineau,Corporate
546,MW-18220,Mitch Webber,Consumer
547,MW-18235,Mitch Willingham,Corporate
548,MF-18250,Monica Federle,Corporate
549,ML-18265,Muhammed Lee,Consumer
550,MM-18280,Muhammed MacIntyre,Corporate
551,MY-18295,Muhammed Yedwab,Corporate
552,NL-18310,Nancy Lomonaco,Home Office
553,NP-18325,Naresj Patel,Consumer
554,NC-18340,Nat Carroll,Consumer
555,NG-18355,Nat Gilpin,Corporate
556,ND-18370,Natalie DeCherney,Consumer
557,NF-18385,Natalie Fritzler,Consumer
558,NW-18400,Natalie Webber,Consumer
559,NC-18415,Nathan Cano,Consumer
560,NG-18430,Nathan Gelder,Consumer
561,NM-18445,Nathan Mautz,Home Office
562,ND-18460,Neil Ducich,Corporate
563,NF-18475,Neil Französisch,Home Office
564,NK-18490,Neil Knudson,Home Office
565,NS-18505,Neola Schneider,Consumer
566,NM-18520,Neoma Murray,Consumer
567,NC-18535,Nick Crebassa,Corporate
568,NR-18550,Nick Radford,Consumer
569,NZ-18565,Nick Zandusky,Home Office
570,NB-18580,Nicole Brennan,Corporate
571,NF-18595,Nicole Fjeld,Home Office
572,NH-18610,Nicole Hansen,Corporate
573,NC-18625,Noah Childs,Corporate
574,NS-18640,Noel Staavos,Corporate
575,NB-18655,Nona Balk,Corporate
576,NP-18670,Nora Paige,Consumer
577,NP-18685,Nora Pelletier,Home Office
578,NP-18700,Nora Preis,Consumer
579,ON-18715,Odella Nelson,Corporate
580,OT-18730,Olvera Toch,Consumer
581,PC-18745,Pamela Coakley,Corporate
582,PS-18760,Pamela Stobb,Consumer
583,PN-18775,Parhena Norris,Home Office
584,PH-18790,Patricia Hirasaki,Home Office
585,PB-18805,Patrick Bzostek,Home Office
586,PG-18820,Patrick Gardner,Consumer
587,PJ-18835,Patrick Jones,Corporate
588,PO-18850,Patrick O'Brill,Consumer
589,PO-18865,Patrick O'Donnell,Consumer
590,PR-18880,Patrick Ryan,Consumer
591,PG-18895,Paul Gonzalez,Consumer
592,PK-18910,Paul Knutson,Home Office
593,PL-18925,Paul Lucas,Home Office
594,PM-18940,Paul MacIntyre,Consumer
595,PP-18955,Paul Prost,Home Office
596,PS-18970,Paul Stevenson,Home Office
597,PV-18985,Paul Van Hugh,Home Office
598,PC-19000,Pauline Chand,Home Office
599,PJ-19015,Pauline Johnson,Consumer
600,PW-19030,Pauline Webber,Corporate
601,PS-19045,Penelope Sewall,Home Office
602,PA-19060,Pete Armstrong,Home Office
603,PK-19075,Pete Kriz,Consumer
604,PT-19090,Pete Takahito,Consumer
605,PB-19105,Peter Bühler,Consumer
606,PF-19120,Peter Fuller,Consumer
607,PM-19135,Peter McVee,Home Office
608,PB-19150,Philip Brown,Consumer
609,PF-19165,Philip Fox,Consumer
610,PO-19180,Philisse Overcash,Home Office
611,PO-19195,Phillina Ober,Home Office
612,PB-19210,Phillip Breyer,Corporate
613,PF-19225,Phillip Flathmann,Consumer
614,PW-19240,Pierre Wener,Consumer
615,QJ-19255,Quincy Jones,Corporate
616,RP-19270,Rachel Payne,Corporate
617,RA-19285,Ralph Arnett,Consumer
618,RK-19300,Ralph Kennedy,Consumer
619,RR-19315,Ralph Ritter,Consumer
620,RB-19330,Randy Bradley,Consumer
621,RF-19345,Randy Ferguson,Corporate
622,RB-19360,Raymond Buch,Consumer
623,RM-19375,Raymond Messe,Consumer
624,RP-19390,Resi Pölking,Consumer
625,RE-19405,Ricardo Emerson,Consumer
626,RS-19420,Ricardo Sperren,Corporate
627,RB-19435,Richard Bierner,Consumer
628,RE-19450,Richard Eichhorn,Consumer
629,RB-19465,Rick Bensley,Home Office
630,RD-19480,Rick Duston,Consumer
631,RH-19495,Rick Hansen,Consumer
632,RH-19510,Rick Huthwaite,Home Office
633,RR-19525,Rick Reed,Corporate
634,RW-19540,Rick Wilson,Corporate
635,RH-19555,Ritsa Hightower,Consumer
636,RB-19570,Rob Beeghly,Consumer
637,RD-19585,Rob Dowd,Consumer
638,RH-19600,Rob Haberlin,Consumer
639,RL-19615,Rob Lucas,Consumer
640,RW-19630,Rob Williams,Corporate
641,RB-19645,Robert Barroso,Corporate
642,RD-19660,Robert Dilbeck,Home Office
643,RM-19675,Robert Marley,Home Office
644,RW-19690,Robert Waldorf,Consumer
645,RB-19705,Roger Barcio,Home Office
646,RD-19720,Roger Demir,Consumer
647,RF-19735,Roland Fjeld,Consumer
648,RM-19750,Roland Murray,Consumer
